ngram,freq,COMP,NEG,NEUT,None,POS,max.value,max.prop
가*,1,0,0,0,0,1,POS,1
가*,1,0,0,0,0,1,POS,1
가*,1,0,0,0,0,1,POS,1
가*,3,0,0,0,0,1,POS,1
가*,1,0,0,0,0,1,POS,1
가,17,0,0.470588235,0.235294118,0,0.294117647,NEG,0.470588235
가,11,0,0.363636364,0.272727273,0,0.363636364,NEG,0.363636364
가,2,0,0,1,0,0,NEUT,1
가,1,0,0,1,0,0,NEUT,1
가,2,0,1,0,0,0,NEG,1
가,1,0,0,0,0,1,POS,1
가,6,0,0.666666667,0.166666667,0,0.166666667,NEG,0.666666667
가,1,0,1,0,0,0,NEG,1
가,1,0,0,0,0,1,POS,1
가,1,0,1,0,0,0,NEG,1
가,112,0.017857143,0.464285714,0.080357143,0.026785714,0.410714286,NEG,0.464285714
가,1,0,0,0,0,1,POS,1
가,1,0,0,0,0,1,POS,1
가,2,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,0,0,0,1,POS,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,0,0,0,1,POS,1
가,1,0,0,0,0,1,POS,1
가,1,0,0,1,0,0,NEUT,1
가,1,0,0,1,0,0,NEUT,1
가,1,1,0,0,0,0,COMP,1
가,1,1,0,0,0,0,COMP,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,2,0,0.5,0,0,0.5,NEG,0.5
가,1,0,0,0,0,1,POS,1
가,1,0,0,0,0,1,POS,1
가,1,0,0,0,0,1,POS,1
가,2,0,0.5,0,0,0.5,NEG,0.5
가,1,0,1,0,0,0,NEG,1
가,1,0,0,1,0,0,NEUT,1
가,1,0,0,1,0,0,NEUT,1
가,1,0,1,0,0,0,NEG,1
가,1,1,0,0,0,0,COMP,1
가,1,1,0,0,0,0,COMP,1
가,1,0,1,0,0,0,NEG,1
가,1,0,0,1,0,0,NEUT,1
가,1,0,0,1,0,0,NEUT,1
가,1,0,1,0,0,0,NEG,1
가,1,0,0,0,0,1,POS,1
가,1,0,0,0,0,1,POS,1
가,1,0,0,0,0,1,POS,1
가,1,0,0,0,0,1,POS,1
가,1,0,0,0,0,1,POS,1
가,7,0,0.714285714,0,0,0.285714286,NEG,0.714285714
가,1,0,0,0,0,1,POS,1
가,1,0,1,0,0,0,NEG,1
가,1,0,0,0,0,1,POS,1
가,1,0,0,0,0,1,POS,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,0,0,0,1,POS,1
가,1,0,0,0,0,1,POS,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,1,0,0,1,0,0,NEUT,1
가,1,0,0,1,0,0,NEUT,1
가,1,0,0,0,0,1,POS,1
가,1,0,0,0,0,1,POS,1
가,1,0,1,0,0,0,NEG,1
가,1,0,1,0,0,0,NEG,1
가,2,0,0.5,0,0,0.5,NEG,0.5
가,1,0,0,0,0,1,POS,1
가,1,0,1,0,0,0,NEG,1
